image,class_id,class_name,center_x,center_y,annotated
dt1.jpg,2,3,0.330898,0.357420,1
dt2.jpg,2,3,0.292525,0.353766,1
dt3.jpg,2,3,0.232226,0.364009,1
dt4.jpg,2,3,0.213040,0.364009,1
dt5.jpg,2,3,0.205150,0.363455,1
dt6.jpg,2,3,0.626744,0.385936,1
dt7.jpg,2,3,0.607558,0.393245,1
dt8.jpg,2,3,0.591113,0.385936,1
dt9.jpg,2,3,0.587044,0.378627,1
dt10.jpg,2,3,0.525416,0.378627,1
dt11.jpg,2,3,0.484303,0.385936,1
dt12.jpg,2,3,0.413040,0.385936,1
dt13.jpg,2,3,0.530898,0.398671,1
dt14.jpg,2,3,0.849668,0.401827,1
dt15.jpg,2,3,0.822259,0.410963,1
dt16.jpg,2,3,0.798297,0.414618,1
dt17.jpg,2,3,0.477741,0.409136,1
dt18.jpg,2,3,0.508555,0.407309,1
dt19.jpg,2,3,0.526370,0.410963,1
dt20.jpg,2,3,0.595557,0.405482,1
dt21.jpg,2,3,0.670224,0.405482,1
dt22.jpg,2,3,0.656520,0.410964,1
dt23.jpg,2,3,0.606520,0.412791,1
dt24.jpg,2,3,0.549668,0.445681,1
dt25.jpg,2,3,0.529111,0.454817,1
dt26.jpg,2,3,0.466777,0.428350,1
dt27.jpg,2,3,0.468854,0.417387,1
dt28.jpg,2,3,0.388704,0.422868,1
dt29.jpg,2,3,0.334593,0.429236,1
dt30.jpg,2,3,0.310631,0.421927,1
dt31.jpg,2,3,0.513372,0.432890,1
dt32.jpg,2,3,0.420889,0.420100,1
dt33.jpg,2,3,0.509925,0.423754,1
dt34.jpg,3,4,0.356894,0.371318,1
dt35.jpg,3,4,0.434967,0.378627,1
dt36.jpg,3,4,0.410299,0.374973,1
dt37.jpg,3,4,0.393854,0.374973,1
dt38.jpg,3,4,0.324004,0.378627,1
dt39.jpg,3,4,0.282890,0.389591,1
dt40.jpg,3,4,0.252741,0.400554,1
dt41.jpg,3,4,0.615781,0.396900,1
dt42.jpg,3,4,0.629485,0.393245,1
dt43.jpg,3,4,0.629485,0.396900,1
dt44.jpg,3,4,0.607558,0.393245,1
dt45.jpg,3,4,0.632226,0.389591,1
dt46.jpg,3,4,0.569270,0.402326,1
dt47.jpg,3,4,0.536379,0.402326,1
dt48.jpg,3,4,0.517193,0.409635,1
dt49.jpg,3,4,0.430898,0.409635,1
dt50.jpg,3,4,0.365117,0.413289,1
dt51.jpg,3,4,0.332226,0.427907,1
dt52.jpg,3,4,0.302077,0.438871,1
dt53.jpg,3,4,0.425000,0.410963,1
dt54.jpg,3,4,0.473630,0.423754,1
dt55.jpg,3,4,0.787573,0.432955,1
dt56.jpg,3,4,0.447259,0.477187,1
dt57.jpg,3,4,0.590739,0.434718,1
dt58.jpg,3,4,0.540739,0.442027,1
dt59.jpg,3,4,0.547591,0.452990,1
dt60.jpg,3,4,0.590075,0.460299,1
dt61.jpg,1,2,0.863496,0.387209,1
dt62.jpg,1,2,0.292525,0.382282,1
dt63.jpg,1,2,0.271927,0.396900,1
dt64.jpg,1,2,0.253779,0.407309,1
dt65.jpg,1,2,0.213372,0.394518,1
dt66.jpg,1,2,0.596595,0.400554,1
dt67.jpg,1,2,0.599336,0.400554,1
dt68.jpg,1,2,0.624004,0.389591,1
dt69.jpg,1,2,0.698007,0.387708,1
dt70.jpg,1,2,0.667857,0.398671,1
dt71.jpg,1,2,0.587044,0.409635,1
dt72.jpg,1,2,0.559635,0.413289,1
dt73.jpg,1,2,0.543190,0.416944,1
dt74.jpg,1,2,0.898297,0.414618,1
dt75.jpg,1,2,0.615407,0.410964,1
dt76.jpg,1,2,0.926370,0.411905,1
dt77.jpg,1,2,0.667484,0.409136,1
dt78.jpg,1,2,0.381852,0.433832,1
dt79.jpg,1,2,0.294186,0.444795,1
dt80.jpg,1,2,0.294186,0.440199,1
dt81.jpg,1,2,0.364743,0.460299,1
dt82.jpg,1,2,0.459261,0.432005,1
dt83.jpg,1,2,0.510631,0.432005,1
dt84.jpg,1,2,0.455150,0.434718,1
dt85.jpg,1,2,0.433223,0.437486,1
dt86.jpg,1,2,0.459925,0.443854,1
dt87.jpg,0,1,0.400748,0.371318,1
dt88.jpg,0,1,0.470598,0.367664,1
dt89.jpg,0,1,0.877201,0.385382,1
dt90.jpg,0,1,0.277409,0.393245,1
dt91.jpg,0,1,0.226744,0.404209,1
dt92.jpg,0,1,0.168148,0.412791,1
dt93.jpg,0,1,0.144186,0.418272,1
dt94.jpg,0,1,0.455565,0.416944,1
dt95.jpg,0,1,0.447343,0.416944,1
dt96.jpg,0,1,0.461047,0.416944,1
dt97.jpg,0,1,0.408971,0.424253,1
dt98.jpg,0,1,0.663372,0.431063,1
dt99.jpg,0,1,0.652409,0.432890,1
dt100.jpg,0,1,0.395557,0.425581,1
dt101.jpg,0,1,0.627741,0.437486,1
dt102.jpg,0,1,0.464743,0.442027,1
dt103.jpg,0,1,0.496927,0.487708,1
dt104.jpg,0,1,0.446927,0.433832,1
dt105.jpg,0,1,0.407890,0.445681,1
dt106.jpg,0,1,0.444186,0.440199,1
dt107.jpg,0,1,0.572259,0.454817,1
dt108.jpg,0,1,0.542816,0.454817,1
